,total_positive,active_positive,last_seven,last_fourteen,probable_positive,positive_isolated,total_negative,total_deaths,probable_deaths,positive_male,positive_female,positive_0_11,positive_12_17,positive_18_25,positive_26_35,positive_36_45,positive_46_55,positive_56_65,positive_66_75,positive_76_85,poisitive_86_+,positive_average_age,death_average_age,total_hospitalized,healthcare,EMT,non_resident_EMT
8/5/2020,207,17,2,9,0,160,516,18,12,98,109,3,3,14,15,42,30,22,17,21,39,55,84.8,28,10,0,8
8/3/2020,207,16,4,9,0,160,516,18,12,98,109,3,3,14,15,42,30,22,17,21,39,55,84.8,28,10,0,8
8/1/2020,206,16,6,8,0,160,508,18,12,97,109,3,3,14,15,42,29,22,17,21,39,55,84.8,28,10,0,8
7/29/2020,205,16,7,9,0,159,503,18,12,96,109,3,3,14,15,41,29,22,17,21,39,55,,,,,
7/27/2020,203,14,5,6,0,159,490,18,12,96,107,3,3,13,15,40,29,22,17,21,39,55,84.8,28,10,0,8
7/24/2020,200,27,2,5,0,141,470,18,12,93,107,3,3,13,15,39,26,22,16,19,39,55,84.8,27,10,0,8
7/22/2020,198,34,2,3,0,134,458,18,12,92,106,3,3,13,15,39,26,22,16,19,39,55,84.8,27,10,0,8
7/20/2020,198,34,#N/A,#N/A,#N/A,134,461,18,12,92,106,3,3,13,15,40,26,22,17,19,39,,,27,10,,
7/17/2020,198,34,3,3,0,134,458,18,12,92,106,3,3,13,15,39,26,22,16,19,39,55,84.8,27,10,0,8
7/15/2020,196,32,#N/A,#N/A,#N/A,134,452,18,12,91,105,3,2,13,15,40,26,21,17,19,39,,,,,,
7/13/2020,196,33,#N/A,#N/A,#N/A,133,438,18,12,91,105,3,2,13,15,40,26,21,17,19,39,,,27,,,
7/10/2020,195,32,0,1,0,133,433,18,12,91,104,3,2,13,15,39,26,22,16,19,39,55,84.8,27,10,0,8
7/8/2020,195,32,0,2,0,133,415,18,12,91,104,3,2,13,15,39,26,22,16,19,39,55,84.8,27,10,0,8
7/6/2020,195,32,0,2,0,133,401,18,12,91,104,3,2,13,15,39,27,21,16,20,38,55,84.8,27,10,0,8
7/1/2020,195,32,2,5,0,133,401,18,12,91,104,3,2,13,15,39,27,21,16,20,36,55,84.8,27,10,0,8
6/29/2020,195,33,3,10,0,132,371,18,12,91,104,3,2,14,14,39,27,21,16,20,36,55,84.8,27,10,0,8
6/26/2020,194,31,3,10,0,132,371,18,12,90,104,3,2,14,14,38,27,21,16,20,36,55,84.8,27,10,0,8
6/24/2020,193,31,3,11,0,132,371,18,12,90,103,3,2,14,14,38,27,20,16,20,36,55,84.8,27,10,0,8
6/22/2020,193,31,7,12,0,132,358,18,12,90,103,3,2,14,14,38,27,20,16,20,36,55,84.8,27,10,0,8
6/19/2020,191,55,7,12,0,106,343,18,12,90,100,3,3,13,14,38,27,20,16,20,36,55,84.8,27,10,0,8
6/17/2020,190,61,8,13,0,106,331,18,12,90,100,3,3,13,14,37,27,20,16,20,36,55,84.8,27,10,0,8
6/16/2020,190,61,11,14,0,99,317,18,12,90,100,3,3,13,14,37,27,20,16,20,36,55,84.8,27,10,0,8
6/15/2020,190,61,11,16,0,99,311,18,12,90,100,3,3,13,14,37,27,20,16,20,32,55,84.8,27,10,0,8
6/12/2020,182,60,5,10,0,99,300,18,12,89,95,3,3,13,15,36,27,21,15,18,32,55,84.8,27,10,0,8
6/10/2020,182,58,5,19,9,98,276,18,7,86,93,3,3,13,14,36,27,20,15,18,32,#N/A,#N/A,27,10,0,8
6/9/2020,179,58,4,14,0,96,260,18,7,86,93,3,3,13,14,36,26,20,15,18,30,#N/A,#N/A,27,10,0,8
6/8/2020,182,65,8,11,0,92,254,18,7,87,93,3,3,13,14,37,27,20,15,18,31,#N/A,#N/A,27,10,0,8
6/5/2020,180,63,6,9,0,92,250,18,7,87,93,3,3,13,13,37,27,20,14,18,31,#N/A,#N/A,27,6,0,8
6/4/2020,179,62,6,10,0,92,242,18,7,86,93,3,3,13,13,36,27,20,14,18,31,#N/A,#N/A,27,6,0,8
6/3/2020,177,60,6,10,0,92,233,18,7,85,92,3,3,13,13,35,27,20,14,18,30,#N/A,#N/A,27,6,0,8
6/2/2020,176,59,4,10,0,92,228,18,7,84,92,3,3,13,13,35,26,20,14,18,30,#N/A,#N/A,27,6,0,8
6/1/2020,175,59,3,10,0,90,221,18,7,83,91,3,3,13,13,34,26,20,14,18,30,#N/A,#N/A,27,6,0,8
5/29/2020,174,59,2,12,0,90,216,18,7,83,91,3,3,13,13,34,26,19,14,18,30,#N/A,#N/A,27,6,0,8
5/28/2020,174,59,#N/A,#N/A,0,90,219,18,7,83,91,3,3,13,13,34,26,19,14,18,30,#N/A,#N/A,27,6,0,7
5/27/2020,173,59,#N/A,#N/A,0,90,207,17,7,82,91,3,3,13,13,33,26,19,14,18,30,#N/A,#N/A,27,6,0,7
5/26/2020,172,65,#N/A,#N/A,0,83,201,17,7,82,90,3,3,13,13,33,26,19,14,17,30,#N/A,#N/A,27,6,0,7
5/22/2020,170,64,#N/A,#N/A,0,82,198,17,7,82,88,3,3,13,13,33,26,18,14,16,39,#N/A,#N/A,27,6,0,7
5/21/2020,169,65,#N/A,#N/A,0,80,194,17,7,81,88,3,3,13,14,32,26,17,14,16,30,#N/A,#N/A,27,6,0,7
5/20/2020,167,63,#N/A,#N/A,0,80,189,17,7,80,87,3,3,12,14,31,26,17,14,16,30,#N/A,#N/A,27,6,0,7
5/18/2020,164,60,#N/A,#N/A,0,80,189,17,7,77,87,3,3,12,12,31,25,17,14,16,30,#N/A,#N/A,26,6,0,7
5/15/2020,161,62,#N/A,#N/A,0,79,182,15,7,75,85,3,3,11,12,31,24,17,12,16,30,#N/A,#N/A,25,5,0,7
5/14/2020,160,62,#N/A,#N/A,0,76,171,15,7,75,85,3,3,11,12,31,24,17,12,16,30,#N/A,#N/A,25,5,0,6
5/13/2020,160,62,#N/A,#N/A,0,76,169,15,7,75,85,3,3,11,12,31,24,17,12,16,29,#N/A,#N/A,25,5,0,6
5/12/2020,159,66,#N/A,#N/A,0,71,165,15,7,75,84,3,3,11,12,31,24,17,12,16,29,#N/A,#N/A,25,5,0,6
5/11/2020,159,69,#N/A,#N/A,0,68,159,15,7,75,84,3,3,11,12,31,24,17,12,16,29,#N/A,#N/A,25,5,0,6
5/8/2020,157,73,#N/A,#N/A,0,63,154,14,0,71,70,3,3,11,12,29,24,17,12,16,28,#N/A,#N/A,25,5,0,6
5/7/2020,141,67,#N/A,#N/A,0,63,142,11,0,71,70,3,2,11,12,28,23,17,11,11,21,#N/A,#N/A,22,5,0,3
5/6/2020,136,62,#N/A,#N/A,0,63,141,11,0,68,68,3,2,10,10,28,22,16,11,11,21,#N/A,#N/A,22,5,0,0
5/5/2020,133,61,#N/A,#N/A,0,62,137,10,0,66,67,3,2,9,9,27,22,16,11,11,21,#N/A,#N/A,22,5,0,0
5/4/2020,124,52,#N/A,#N/A,0,62,131,10,0,62,62,3,2,8,8,25,20,16,11,10,20,#N/A,#N/A,21,5,0,0
5/1/2020,119,48,#N/A,#N/A,0,62,129,10,0,61,48,3,2,9,7,25,18,16,11,10,17,#N/A,#N/A,21,5,0,0
4/30/2020,116,47,#N/A,#N/A,0,60,124,9,0,60,56,3,2,9,7,23,18,16,11,10,16,#N/A,#N/A,21,5,0,0
4/29/2020,112,50,#N/A,#N/A,0,63,120,9,0,57,55,3,2,9,7,22,17,15,11,10,15,#N/A,#N/A,20,5,0,0
4/28/2020,112,48,#N/A,#N/A,0,56,116,8,0,58,54,3,2,9,7,22,18,14,11,11,15,#N/A,#N/A,19,5,0,0
4/27/2020,110,61,#N/A,#N/A,0,45,111,7,0,57,53,3,2,9,7,22,18,14,9,11,14,#N/A,#N/A,19,5,0,0
4/25/2020,101,52,#N/A,#N/A,0,45,77,5,0,52,49,3,1,8,7,20,17,12,9,11,13,#N/A,#N/A,19,4,0,0
4/24/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/22/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/21/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/20/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/17/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/16/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/15/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/14/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/13/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/10/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/9/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/8/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/6/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/3/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/2/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/31/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/30/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/28/2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A